question,ground_truth,prediction,correct,avg_length,format_rate
The set of all real numbers under the usual multiplication operation is not a group since,D,A,False,142.0,0.0
Statement 1| Every group of order p^2 where p is prime is Abelian. Statement 2 | For a fixed prime p a Sylow p-subgroup of a group G is a normal subgroup of G if and only if it is the only Sylow p-subgroup of G.,A,A,True,154.0,0.0
"Statement 1 | For finite groups G and H, |G + H| = |G||H|. (G + H is the internal direct product.) Statement 2 | If r divides m and s divides n then Z_m + Z_n has a subgroup isomorphic to Z_r + Z_s.",A,A,True,154.0,0.0
"Find the sum of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",A,A,True,122.0,0.0
"Statement 1 | Any set of two vectors in R^2 is linearly independent. Statement 2 | If V = span(v1, ... , vk) and {v1, ... , vk} are linearly independent, then dim(V) = k.",D,A,False,137.0,0.0
The set of all nth roots of unity under multiplication of complex numbers form a/an,D,A,False,112.0,0.0
"Statement 1 | Every maximal ideal is a prime ideal. Statement 2 | If I is a maximal ideal of a commutative ring R, then R/I is field.",B,A,False,146.0,0.0
Let G denoted the set of all n x n non-singular matrices with rational numbers as entries. Then under multiplication G is a/an,C,A,False,144.0,0.0
Statement 1 | Every group of order 42 has a normal subgroup of order 7. Statement 2 | Every group of order 42 has a normal subgroup of order 8.,C,A,False,125.0,0.0
Determine whether the polynomial in Z[x] satisfies an Eisenstein criterion for irreducibility over Q. 8x^3 + 6x^2 - 9x + 24,B,A,False,113.0,0.0
Statement 1 | The image of a group of 6 elements under a homomorphism may have 12 elements. Statement 2 | There is a homomorphism of some group of 6 elements into some group of 12 elements.,D,A,False,146.0,0.0
Statement 1 | The homomorphic image of a cyclic group is cyclic. Statement 2 | The homomorphic image of an Abelian group is Abelian.,A,A,True,122.0,0.0
"Statement 1 | If H is a subgroup of a group G and a belongs to G, then aH = Ha. Statement 2 | If H is normal of G and a belongs to G, then ah = ha for all h in H.",B,A,False,159.0,0.0
"If (G, .) is a group such that (ab)^-1 = a^-1b^-1, for all a, b in G, then G is a/an",B,A,False,119.0,0.0
"Statement 1 | In a finite dimensional vector space every linearly independent set of vectors is contained in a basis. Statement 2 | If B_1 and B_2 are bases for the same vector space, then |B_1| = |B_2|.",A,A,True,152.0,0.0
"Some group (G, 0) is known to be abelian. Then which one of the following is TRUE for G?",C,A,False,158.0,0.0
"Statement 1 | If T: V -> W is a linear transformation and dim(V ) < dim(W) < 1, then T must be injective. Statement 2 | Let dim(V) = n and suppose that T: V -> V is linear. If T is injective, then it is a bijection.",A,A,True,152.0,0.0
"Find the degree for the given field extension Q(sqrt(2), sqrt(3)) over Q.",B,A,False,102.0,0.0
Compute the product in the given ring. (20)(-8) in Z_26,D,A,False,86.0,0.0
Determine whether the polynomial in Z[x] satisfies an Eisenstein criterion for irreducibility over Q. x^2 - 12,B,A,False,119.0,0.0
Find the generator for the finite field Z_7.,C,A,False,90.0,0.0
Statement 1 | Every permutation is a cycle. Statement 2 | Every cycle is a permutation.,D,A,False,116.0,0.0
"The set of integers Z with the binary operation ""*"" defined as a*b =a +b+ 1 for a, b in Z, is a group. The identity element of this group is",C,A,False,141.0,0.0
Find the characteristic of the ring Z_3 x 3Z.,A,A,True,100.0,0.0
Statement 1 | Some abelian group of order 45 has a subgroup of order 10. Statement 2 | A subgroup H of a group G is a normal subgroup if and only if thenumber of left cosets of H is equal to the number of right cosets of H.,B,A,False,148.0,0.0
Statement 1 | Every integral domain with characteristic 0 is infinite. Statement 2 | Every integral domain with prime characteristic is finite.,C,A,False,131.0,0.0
"Let A and B be sets, f: A -> B and g: B -> A be functions such that for all a \in A, g(f(a)) = a. Statement 1 | The function f must necessarily be injective. Statement 2 | The function f must necessarily be surjective.",C,A,False,133.0,0.0
"Statement 1 | For any two groups G and G', there exists a homomorphism of G into G'. Statement 2 | Every homomorphism is a one-to-one map.",C,A,False,130.0,0.0
Statement 1 | A homomorphism may have an empty kernel. Statement 2 | It is not possible to have a nontrivial homomorphism of some finite group into some infinite group.,B,A,False,140.0,0.0
Find all c in Z_3 such that Z_3[x]/(x^3 + x^2 + c) is a field.,B,A,False,107.0,0.0
"Statement 1 | If a R is an integral domain, then R[x] is an integral domain. Statement 2 | If R is a ring and f(x) and g(x) are in R[x], then deg (f(x)g(x)) = deg f(x) + deg g(x).",C,A,False,139.0,0.0
Find the maximum possible order for some element of Z_8 x Z_10 x Z_24.,B,A,False,100.0,0.0
